Snack Name,Ingredients,Allergy,Price
Jack Link's Original Beef Steak Stick - 1 oz/12 pack,"BEEF, WATER, SALT, LESS THAN 2% BROWN SUGAR, SPICES, MONOSODIUM GLUTAMATE, SUGAR, FLAVORINGS, SODIUM NITRITE.",,$18.75
Jack Link's Teriyaki Beef Steak - 1 oz/12 pack,"BEEF, BROWN SUGAR, FRUCTOSE, WATER, CONTAINS 2% OR LESS OF SALT, HYDROLYZED SOY PROTEIN, FLAVORINGS, PINEAPPLE JUICE SOLIDS, TERIYAKI SAUCE SOLIDS (SOY SAUCE [SOYBEANS, SALT, WHEAT], SAKE, APPLE CIDER VINEGAR, GARLIC, MUSTARD, GINGER, BLACK AND WHITE PEPPER, MODIFIED FOOD STARCH, MALTODEXTRIN, SUCROSE, FRUCTOSE), ORANGE JUICE SOLIDS, SHERRY WINE SOLIDS, SODIUM ERYTHORBATE, SODIUM NITRITE.",Wheat; Soy/Soybeans,$18.75
Jack Link's Original Beef Steak Jumbo - 2 oz/12 pack,"BEEF, WATER, SALT, LESS THAN 2% BROWN SUGAR, SPICES, MONOSODIUM GLUTAMATE, SUGAR, FLAVORINGS, SODIUM NITRITE.",,$30.75
Jack Link's Original Beef Jerky - 2.85 oz/12 pack,"BEEF, WATER, SUGAR, BROWN SUGAR, CONTAINS 2% OR LESS OF SALT, VINEGAR, BEEF STOCK, FLAVORS, SOY SAUCE (WHEAT, SOYBEANS, SALT), HYDROLYZED CORN PROTEIN, YEAST EXTRACT, MALTODEXTRIN, CITRIC ACID, CHERRY EXTRACT, BROMELAIN (FROM PINEAPPLE).",Wheat; Soy/Soybeans,$74.10
Jack Link's Wild Hot Squatch Sticks - 1 oz/20 pack ,"BEEF AND PORK, MECHANICALLY SEPARATED CHICKEN, WATER, CONTAINS 2% OR LESS OF FLAVORS, SALT, SOY PROTEIN ISOLATE, CORN SYRUP, RICE BRAN, DEXTROSE, FRUCTOSE, REFINERS SYRUP, SMOKE FLAVOR, HYDROLYZED SOY PROTEIN, MOLASSES, PAPRIKA, PAPRIKA EXTRACT, LACTIC ACID STARTER CULTURE, SODIUM NITRITE, SAFFLOWER OIL, COLORS (CARAMEL, RED 3, ANNATTO).",Soy/Soybeans,$20.75
Jack Link's Peppered Beef Jerky - 2.85 oz/8 pack,"BEEF, WATER, SUGAR, SALT, CONTAINS 2% OR LESS OF BROWN SUGAR, BLACK PEPPER, VINEGAR, BEEF STOCK, FLAVORS, SOY SAUCE (WHEAT, SOYBEANS, SALT), YEAST EXTRACT, HYDROLYZED CORN PROTEIN, MALTODEXTRIN, CITRIC ACID, BROMELAIN (FROM PINEAPPLE).",Wheat; Soy/Soybeans,$49.40
Jack Link's Sweet & Hot Beef Jerky - 2.85 oz/8 pack,"BEEF, WATER, SUGAR, BROWN SUGAR. CONTAINS 2% OR LESS OF SALT, FLAVORS, VINEGAR, BEEF STOCK, YEAST EXTRACT, CITRIC ACID, BROMELAIN (FROM PINEAPPLE).",,$49.40
Jack Link's Original Beef Jerky 110 Calories - 1.25 oz/10 pack,"BEEF, WATER, SUGAR, SALT, LESS THAN 2% SOY SAUCE [(WHEAT, SOYBEANS, SALT), MALTODEXTRIN], FLAVORINGS, HYDROLYZED CORN PROTEIN, YEAST EXTRACT, CITRIC ACID.",Wheat; Soy/Soybeans,$29.63
Jack Link's Teriyaki Beef Jerky 110 Calories - 1.25 oz/10 pack,"BEEF, WATER, SUGAR, LESS THAN 2% SOY SAUCE [(WHEAT, SOYBEANS, SALT), MALTODEXTRIN], FLAVORINGS, SALT, YEAST EXTRACT, CITRIC ACID.",Wheat; Soy/Soybeans,$29.63
Cattleman's Cut Original Beef Jerky - 10 ct/6 pack,"BEEF, SUGAR, BROWN SUGAR, WATER, SALT, VINEGAR, NATURAL SMOKE FLAVOR, SPICES AND NATURAL FLAVORINGS, BEEF STOCK, SODIUM NITRITE.",,$88.20
